	article_title
2064	E-Mail From Aunt Accidentally Opened
2065	Victim Of Mall Shooting Determined Not To Die In Yankee Candle
2066	CGI Team Creates Realistic Oscar For Michael Bay
2067	Children, Children's Children: 'Stop Worrying About Us'
2068	Area Man Honored To Be One Who Added Death Date To Heath Ledger's Wikipedia Page
2069	Asian Markets Fall Like Cherry Blossoms In Gentle Spring Rain
2070	Kitchen-Floor Conflict Intensifies As Rival House Cats Claim Same Empty Bag
2071	3'-By-4' Plot Of Green Space Rejuvenates Neighborhood
2072	Local Girlfriend Always Wants To Do Stuff
2073	GM Introduces New 2008 Line Of Layoffs
2074	World Leaders Gather To Roast Mahmoud Ahmadinejad
2075	Dept. Of Homeland Security: 'Has Anybody Seen A Blue Folder?'
2076	Area Senior Remembers A Simpler Time When His Anus Didn't Leak
2077	Mattress Store Experiments With Non-Blowout Sale
2078	Congress To Raise Alpacas To Aid Struggling Economy
2079	Depressed Candidate Runs Attack Ad About Self
2080	Man Braves Freezing Weather To Cross Parking Lot
2081	Study Finds Link Between Being Struck By Cream Pie, Diminished Social Standing
2082	Bill Clinton: 'Screw It, I'm Running For President'
2083	3.2 Million Unemployed Americans Apply For Opening At Ohio-Area Bob Evans
2084	Area Eccentric Reads Entire Book
2085	Kraft Introduces New Kraft Doubles For Couples
2086	Failure Now An Option
2087	Senate Meets At Coffee Shop To Brainstorm Legislation
2088	Half Of 26-Year-Old's Memories Nintendo-Related
2089	Syria Attends Mideast Peace Talks For Free Continental Breakfast
2090	Report: Someone Totally Doing It Somewhere Right Now
2091	Bush Begins Preparations For Nation's Final Year
2092	Bush Acknowledges Existence Of Carbon Dioxide
2093	Rove Resigns To Spend More Time In Shadows
2094	Nation's Crumbling Infrastructure Probably Some Sort Of Metaphor
2095	YouTube Debate Becomes Website's First Ignored Video
2096	Nation In Frenzy About Little Wizard Boy And All His Little Wizard Friends
2097	Brett Butler Now Nation's Most Stable Female Celebrity
2098	Gore Wins Oscar, Nobel Peace Prize For Slide-Show Presentation
2099	Thousands Wait Overnight At Microsoft Stores For Second Generation Zune
2100	New Speaker Of The House Caught Wearing Women’s Clothing
2101	Iraq War No Longer Interesting Enough To Make List Of Year’s Top Stories
2102	Man Likes Woman So Much He Marries Her
2103	Sources: George Clooney Looking Good
2104	2007 Holiday Cheer Brought To You By Toyota
2105	Bush's New Dentist Faces Tough Confirmation Hearing
2106	Overweight College Student Announces Plans To Wear Shorts, Sandals For Rest Of Year
2107	U.S. Breath Reaches All-Time Worst
2108	30 Miserable Lives Lost In Greyhound Bus Crash
2109	Man Finally Put In Charge Of Struggling Feminist Movement
2110	Lone Gunman Envied By Married Gunman
2111	Underfunded Schools Forced To Cut Past Tense From Language Programs
2112	CIA: America May Have An Unknown Number Of Secret Admirers
2113	Perfectly Marketed TV Show Somehow Fails
2114	Online Couple Never Chats Anymore
2115	Convention-Goer Has High Hopes For Hilarious Name Tag
2116	Proposed Bill Would Bring 4,000 Troops Back To Life
2117	U.S. Postal Service Destroyed By Four Reckless Teens In Car
2118	Law Firm To Purchase One Of Those Big Leather Chairs
2119	Crime Scene Investigators Find Arrowhead
2120	Americans Announce They're Dropping Out Of Presidential Race
2121	U.S. Intelligence: Iran Possesses Trillions Of Potentially Dangerous Atoms
2122	Female Serial Killer Has To Work Twice As Hard To Achieve Notoriety
2123	Local Boy Trapped In Family
2124	Fall Canceled After 3 Billion Seasons
2125	Study Finds Working At Work Improves Productivity
2126	Fancy Man Enjoys Tea
2127	Mel Brooks Starts Nonprofit Foundation To Save Word 'Schmuck'
2128	Child On White House Tour Momentarily Seizes Control Of Nation
2129	Gerbil Growing Distant
2130	Sugar Ray Thrilled To Be Playing In Man's Head
2131	Report: Everyone In Hollywood Great Friends
2132	Lethal Injection Ban Leads To Rise In Back-Alley Lethal Injections
2133	Not-So-Horrible Thing Happens In Iraq
2134	First Orgy After Brian's Death Very Solemn
2135	Entire Precinct Made Up Of Loose Cannons
2136	It Only Tuesday
2137	Conceptual Terrorists Encase Sears Tower In Jell-O
2138	Reaganomics Finally Trickles Down To Area Man
2139	Piping-Hot Calzone Missing
2140	NASA Announces Plan To Bring Wi-Fi To Its Headquarters By 2017
2141	Thousands March On Washington For A Little Fresh Air, Exercise
2142	Karate Lessons Give Child Self-Confidence To Quit Karate
2143	Third Amendment Rights Group Celebrates Another Successful Year
2144	New Heart Device Allows Cheney To Experience Love
2145	That 'Full House' Episode Where They Meet The Beach Boys Is On Tomorrow At 3 P.M.
2146	New Fig Newtons Ad Preys On Inherent Human Weakness
2147	Scientists Ask Congress To Fund $50 Billion Science Thing
2148	Bush Makes Surprise Visit To Work
2149	Chinese Authorities Execute 10 Million Recalled Toys
2150	Rhino, Tickbird Stuck In Dead-End Symbiotic Relationship
2151	Area Man Has Sad Little Routine For When He Needs Cheering Up
2152	14 American Apparel Models Freed In Daring Midnight Raid
2153	None
2154	Description Of Sexual Fantasy Changing With Girlfriend's Reaction
2155	Hundreds Line Up Overnight For Opening Of New Homeless Shelter
2156	Ford Reintroduces Model T Line That Made It Great
2157	Pitchfork Gives Music 6.8
2158	Town Hall Meeting Gives Townspeople Chance To Say Stupid Things In Public
2159	Historic Pretzels-For-Little Debbie Swap Sparks Heavy Lunchtime Trading
2160	Study: Casual Sex Only Rewarding For First Few Decades
2161	Nameless Hurricane That Much More Terrifying
2162	Area Man Likes To Compare Circle Of Friends To Cast Of Lost
2163	Heartbroken Bush Runs After Departing Rove's Car
2164	No One Cares About Your Girlfriend Back Home
2165	Dorm RA 'Not Like The Other Dorm RAs,' Says Dorm RA
2166	Report: School Shootings Help Prepare Students For Being Shot In Real World
2167	Senate Allocates $460 Billion For Big Labor Day Sales
2168	Woman Overjoyed By Giant Uterine Parasite
2169	Future Of Genteel Town In Jeopardy As Doily Factory Closes
2170	Democratic Mob Censures Bush In Effigy
2171	FDA Approves Seconds
2172	Brookstone Scientists 10 Years Away From Towel Alarm Clock
2173	Space Tourist Spends Entire Vacation Inside Space Shuttle
2174	Self-Help Lecture Attendees Surprised To Hear Speaker Was Once Just Like Them
2175	U.S. To Re-Hang Saddam Hussein
2176	Pipe Cleaners, Googly Eyes Cut From Elementary School Arts Budget
2177	Ben Affleck Hoping Jason Bourne Has Sidekick In Next Movie
2178	Minimum-Wage Hike Celebrated With Name-Brand Ketchup
2179	Small Town Holds Annual Gay Shame Parade
2180	DNA Evidence Frees Man From Zoo
2181	Tragic Event Forces Man To Spend Rest Of Life Confined To Office Chair
2182	Various Deities Still Sorting Through Victims Of Tragic Queens Bus Accident
2183	None
2184	Mysterious Congressman Challenges Leading Candidates To Debate At Dawn
2185	New Theories Suggest Kennedy Wasn't Shot
2186	Butterfly Fuck-Swing Filled With Junk Mail
2187	Study: Iraqis May Experience Sadness When Friends, Relatives Die
2188	Earthquake Sets Japan Back To 2147
2189	New Eco-Friendly Packaging Triggers Boom In Guilt-Free Littering
2190	Murder Mystery On Train Not So Fun In Real Life
2191	No One Admits To Singing, Writing, Producing Nation's No. 1 Song
2192	John Edwards Vows To End All Bad Things By 2011
2193	Health Department Closes Perfectly Good Burrito Place
2194	Construction Worker Still Hasn't Given Up On True Love
2195	Sports Unable To Heal Small Town Following Tragedy
2196	Bush: Maybe U.S. Military 'Just Not Very Good'
2197	James Gandolfini Shot By Closure-Seeking Fan
2198	Shitty Neighborhood Rallies Against Asshole Developer
2199	Bar Skanks Announce Plans To Kiss
2200	Addressing Climate Crisis, Bush Calls For Development Of National Air Conditioner
2201	After 5 Years In U.S., Terrorist Cell Too Complacent To Carry Out Attack
2202	Single Bee Sends Gathering Of Humans Into Helpless Panic
2203	Cracker Barrel Announces Plans To Build Another One Out By The Highway
2204	Davey Gendelman Hits Puberty
2205	Shaking Off Amnesia, Gonzales Remembers He's Actually Pool Salesman From Tulsa
2206	Banjo Player Sought In Hootenanny Spree
2207	Study: Many Americans Too Fat To Commit Suicide
2208	Retired Gen. George Washington Criticizes Bush's Handling Of Iraq War
2209	None
2210	Unconventional Director Sets Shakespeare Play In Time, Place Shakespeare Intended
2211	Media Landscape Redefined By 24-Second News Cycle
2212	MySpace Outage Leaves Millions Friendless
2213	Supreme Court Reaches Landmark 'It Depends' Ruling
2214	In Need Of Dedication, Yearbook Staff Sacrifices Homecoming King
2215	Nation Mobilizes For Beautiful Weekend
2216	Dog Breeders Issue Massive Recall Of '07 Pugs
2217	Modern-Day Martin Luther Nails 95 Comment Cards To IHOP Door
2218	None
2219	Rhetorical Pleasantry Elicits 45-Minute Response
2220	Hallmark Scientists Identify 3 New Human Emotions
2221	Dept. Of Evil: 'All Of You Must Die'
2222	New Billionaire Tries To Develop Eccentricities
2223	Prince William Fells Prince Willem-Alexander Of The Netherlands In Crucial Joust
2224	None
2225	Area Woman's Entire Day Ruined By Bangs
2226	Don Cheadle 'Riveting' In Coffee Shop Purchase
2227	Middle East Conflict Intensifies As Blah Blah Blah, Etc. Etc.
2228	Weird Kid Shines During Dissection Project
2229	Even CEO Can't Figure Out How RadioShack Still In Business
2230	Street Evangelist Saves 300 Souls From Enjoying Park
2231	'This American Life' Completes Documentation Of Liberal, Upper-Middle-Class Existence
2232	Unemployed Scientists Prove Dog Likes Beer
2233	McCain To Send Self Back To Vietnamese POW Camp To Revitalize Campaign
2234	Roomba Violates All Three Laws Of Roombotics
2235	Majority Of Parents Abuse Children, Children Report
2236	U.S. Counter-Counterterrorism Unit Successfully Destroys Washington Monument
2237	Democrats Demand Inquiry Into How They're Doing So Far
2238	None
2239	Area Man Just Wants To Throw One Good Punch In His Life
2240	Christ Getting In Shape For Second Coming
2241	Bush Refuses To Set Timetable For Withdrawal Of Head From White House Banister
2242	New Disney Ride Simulates Disney–ABC Merger
2243	Heroic Secret Service Agent Takes Question Intended For Bush
2244	Alternative Spring Break Devolves Into Real Spring Break
2245	Anna Nicole Smith Finally Reaches Target Weight
2246	College Senior Hopes To Turn Love Of Data Entry Into Career
2247	Hillary Clinton Tries To Woo Voters By Rescinding Candidacy
2248	Actress' Abortion Written Into TV Show
2249	Area Pagan Dreading Big Family Vernal Equinox Celebration
2250	Specters Of Dental Hygienists Past Haunt Convention Center
2251	Florida Man Beats Out Heart Disease As Nation's No. 1 Killer
2252	Apple Unveils New Product-Unveiling Product
2253	Unreleased Jimmy Page Guitar Riff To Be Retrieved From Secret Vault To Save Rock And Roll
2254	Research Grant Blown Wooing Cute Research Assistant
2255	Kindergartner Being Groomed For Line-Leader Position
2256	Bumbling Ragtag Regiment Achieves Heartwarming Victory In Iraq
2257	Oscars Reveal Widening Gap Between Best, Worst Dressed
2258	Former Editor Can't Believe Shit College Newspaper Is Printing
2259	Giuliani To Run For President Of 9/11
2260	Child-Safety Experts Call For Restrictions On Childhood Imagination
2261	Dane Cook Parlays New Burger King Menu Item Into Hour-Long HBO Special
2262	Doctor Trying To Get Unemployed Friend A Doctor Job
2263	Bush Cuts Off Diplomatic Relations With Congress
2264	Justin Timberlake Apathetically Crowned King Of Pop
2265	Nation's Joggers Sick Of Finding Dead Bodies
2266	Teacher's Leave Of Absence Shrouded In Legend
2267	Thousands Lose Jobs As Michigan Unemployment Offices Close
2268	Mysterious Congressman Announces Dark Horse Candidacy
2269	Nation To Celebrate First-Ever Black History Month History Week
2270	Potato-Chip Connoisseur Detects Notes Of Sour Cream, Onion
2271	Meth Addicts Demand Government Address Nation's Growing Spider Menace
2272	FEMA Calls Rebuilding Complete As New Orleans Restored To Former Squalor
2273	Bush Commits One Additional Troop To Afghanistan
2274	Couple Brought Together Through Mutual Desperation
2275	Northeast Stunned By Freak January Snowfall
2276	Chanel Develops Durable, Low-Cost Perfume For Third World
2277	Bush Rushing To Get Nation In Order Before Hu Jintao's Visit
2278	Vigilante Cop Acts As Judge, Jury, Prosecuting Attorney, Bailiff, Stenographer, Executioner
2279	Area Family's Trip To New Hampshire Sparks Rumors Of Presidential Bid
2280	Rumsfeld Leaves Most Recent Job Off Resumé
2281	Nation's Gays Demand Right To Library Cards
2282	Scientists Create World's Largest Novelty Atom
2283	800,000 Privileged Youths Enlist To Fight In Iraq
2284	Amazon.com Recommendations Understand Area Woman Better Than Husband
2285	Area Man's Quirky Hobby Kills 27
2286	Karl Rove Accused Of Throwing Midterm Elections
2287	Kevin Federline, Wife Divorce
2288	Coretta Scott King's Wiretap Ends
2289	Generous Vice President Cheney Gives Hard-Working Media Field Day
2290	Ken Lay's Children Inherit 4,000 Pensions
2291	NASA Launches Probe To Inform Pluto Of Demotion
2292	Thousands More Dead In Continuing Iraq Victory
2293	Israel Bombs Anti-Semitism Out Of Lebanon
2294	Al Gore Caught Warming Globe To Increase Box Office Profits
2295	Osama Bin Laden Takes Credit For Crocodile Hunter's Death
2296	None
2297	Hero Man Dials 911
2298	Egyptian Conservationists Fight To Protect Dwindling Mummy Population
2299	Rebels Immediately Regret Seizing Power In Zambia
2300	Holiday Advertisers Seek Coveted Dicktard Demographic
2301	None
2302	Brash Young Floor Trader Trying To Rally Dow All By Self
2303	Kansas Outlaws Practice Of Evolution
2304	Boyfriend Ready To Take Relationship To Previous Level
2305	Troop Morale Boosted By Surprise Visit From First Dog
2306	Chicago Rolls Out Cold-Weather Prostitutes
2307	Spaniards Vow To Once Again Decimate Population Of New World
2308	Boxing Gym Gives Inner-City Youths An Opportunity To Punch Each Other Indoors
2309	End-Life Crisis Marked By Extravagant Spending Spree
2310	New Mobile-Device Purchase Makes Asshole More Versatile
2311	Report: More U.S. Soldiers Suffering From Pre-Traumatic Stress Disorder
2312	'C-List Celebrity Killer' Leaves Police Enthusiastically Guessing Who's Next
2313	Laid-Off Ford Employee Decides To Start Own Car Company
2314	Third-Party Cola Demands Ad-Campaign-Finance Reform
2315	Politicians Sweep Midterm Elections
2316	Frito-Lay Angrily Introduces Line Of Healthy Snacks
2317	Sexual Tension Unbearable Between 15-Year-Old, Rest Of World
2318	America's Cowboys Suffering From Restless Heart Syndrome
2319	Bush: Thousands Of Registered Democrats Needed For 'Extremely Important' Mission
2320	Kim Jong-Il Interprets Sunrise As Act Of War
2321	Americans Celebrate 10 Millionth 'Bring Yourself To Work Day'
2322	Local Man Inspires 14th Offbeat News Story
2323	DNA Evidence Frees Man After 15 Years Of Marriage
2324	Mars Rover Beginning To Hate Mars
2325	Martin Scorsese's Next Film To Be Three Hours Of Begging For Oscar
2326	10-Percent Tip Teaches Waitress Valuable Lesson
2327	N. Korea Detonates 40 Years Of GDP
2328	Iraqi Leaders Call For Moment Of Violence During Ramadan
2329	Area Woman Emotionally Invested In Jennifer Aniston's Well-Being
2330	DOT: Dangerous Intersection Causing Some Pretty Cool Accidents
2331	Bush Urges Expanded Drilling Of Alaskan Wildlife
2332	Bin Laden's Mother Worried Sick
2333	Proud Cystic-Fibrosis Foundation Doesn't Need Your Charity
2334	Retired S1Ws Recalled To Active Duty
2335	Muslims To Boycott All Pope Merchandise
2336	Flustered Bush Misses Air Force One Flight
2337	Green-Conscious GE Develops Hybrid Lightbulb
2338	Native Bostonians Unable To Defend Land From Invading College Students
2339	Nation Sickened By Sight Of Happy Young Couple
2340	Report: Iranian Science Teachers May Be Enriching Students
2341	Struggling Blockbuster Eliminates Rental Fees
2342	Crack Dealer Only Tenant Landlord Can Depend On For Rent
2343	Massive Tag Body Spray Slick Spreading From Jersey Shore
2344	New Bill Would Defend Marriage From Sharks
2345	Uninvited Guest Rapper Ruins Album
2346	Author Too Much Of A Pussy To Kill Off Characters
2347	Report: Majority Of Americans Unprepared For Apocalypse
2348	Hero Firefighter Loses Lifelong Battle With Fire
2349	More Deadbeat Granddads Failing To Make Birthday Payments
2350	NYC Unveils 9/11 Memorial Hole
2351	Summer Intern Already Forgotten
2352	Caltech Physicists Successfully Split The Bill
2353	Grapes 'Big Hit' At Area Picnic
2354	Make-A-Wish Recipient Now Wishes Macho Man Randy Savage Would Go Away
2355	Bush Urges Nation To Be Quiet For A Minute While He Tries To Think
2356	Parasite Regrets Choosing Adam Carolla As Host
2357	10 O’Clock News Team Relying Heavily On Work Of 6 O’Clock News Team
2358	Area Man Finally Works Up Courage To Sexually Harass Secretary
2359	War-Torn Middle East Seeks Solace In Religion
2360	National Organization For Women Turns 39 Again
2361	Child In Corner To Exact Revenge As Soon As He Gets Out
2362	Girl Moved To Tears By 'Of Mice And Men' Cliffs Notes
2363	Area Man Finally Lands Dream Salary
2364	Celebrity Launches Own-Breasts Awareness Campaign
2365	U.S. Dedicates $64 Billion To Undermining Gates Foundation Efforts
2366	Only Guy Who Puts Paper In Copier Considers Himself A Hero
2367	Teen Drowns Right In Middle Of Grief Counselor's First Date In Two Years
2368	Condoleezza Rice Holds Bathtime Talks With Undersea Representatives
2369	New Oliver Stone 9/11 Film Introduces 'Single Plane' Theory
2370	Prohibitively High Rocket-Fuel Prices Bring Mideast Crisis To Standstill
2371	Abusive Husband Has Sense Of Humor About It
2372	Report: Meat Now America's No. 2 Condiment
2373	Bush Grants Self Permission To Grant More Power To Self
2374	Area Man Calls For Immediate Release Of His Endorphins
2375	Nonprofit Fights Poverty With Poverty
2376	Wikipedia Celebrates 750 Years Of American Independence
2377	Sparrow Aviation Administration Blames Collision On Failure To Detect Pane Of Glass
2378	Report: 47% Of Satellites Currently Monitoring Celebrity Parenting
2379	Area Senior Suspects Grandchild's Visit Just Some Sort Of Class Assignment
2380	Scratch 'N Win Ballots To Debut In November
2381	U.S. Trendsetters Go On Strike
2382	$18 Payment To Sponsored Child Withheld To Teach Child A Lesson
2383	Marriage Teeming With Sexual Tension
2384	Government To Defend Marriage From Dashing Reginald St. Croix, Esq.
2385	McCain, Feingold Co-Sponsor Chain Of Integrity-Themed Eateries
2386	Baggage-Handling Mix-Up Sends Dirty Bomb To St. Louis
2387	Kinko's Manager Hopes Child Stays Missing A Little Longer
2388	Report: U.S. May Have Been Abused During Formative Years
2389	New Roommate Always There
2390	Exhausted Video Editor Can't Tell If Blooper Reel Is Funny Anymore
2391	Health-Club Employee Stops Going To Work After Two Weeks
2392	Pope Makes First Papal Visit To Six Flags
2393	Surgeon General Issues Report On Dangers Of Secondhand Fire
2394	Sony Unveils New Model Customer
2395	Jon Lovitz Says Income From Subway Commercials Allows Him A Certain Creative Freedom
2396	Thousands Feared Born In Nigerian Population Explosion
2397	NSA Wiretap Reveals Subject May Be Paying Too Much For Long-Distance
2398	Rogue Scientist Has Own Scientific Method
2399	Area Mother Can Only Imagine What Son Is Eating Right Now
2400	Israeli PM: 'One More Suicide Bombing And I'll Give Them Whatever They Want'
2401	Recently Unearthed E-Mail Reveals What Life Was Like In 1995
2402	None
2403	Columbia House Launches Subscription Meds Program
2404	None
2405	Chinese Employers To Grant 15-Minute Maternity Break
2406	Insecure Brian Williams Only One Who Doesn't Trust Brian Williams For Latest News
2407	Don Knotts, Richard Pryor Team Up For Madcap Haunting
2408	Heroic Computer Dies To Save World From Master's Thesis
2409	Estate Sale Proves Everything Man Worked For In Life Worth $5,235.78
2410	Ailing Americans Eagerly Await Summer Organ Harvest
2411	Oil Executives March On D.C.
2412	Mr. Special Foreign Man Won't Read Anything Not Written In His Own Language
2413	Hormel Makes Compelling Case For Man's Last $2.39
2414	Study: Alligators Dangerous No Matter How Drunk You Are
2415	New 'Anti-Abortion Pill' Kills Mother, Leaves Fetus Alive
2416	Roommate Deemed Too Incompetent To Clean Bathroom
2417	Voyeur Concerned About Lack Of Sex In Neighbors' Marriage
2418	NASA Announces Plan To Launch $700 Million Into Space
2419	Illegal Immigrants Returning To Mexico For American Jobs
2420	Scholars Discover 23 Blank Pages That May As Well Be Lost Samuel Beckett Play
2421	Kidnappers Realize They Have No Idea What Child Is Worth
2422	Search For Wallet Self-Narrated
2423	Grease Fire Rages Through Midwest
2424	Drunk Will Show You, Everybody
2425	iTunes To Sell You Your Home Videos For $1.99 Each
2426	Beaver Overthinking Dam
2427	Childbirth To Be Area Woman's Least Painful Interaction With Daughter
2428	Slipped Disc Celebrates 10th Year As Excuse For Everything
2429	Texas Oil Buffoon Pumping 8,000 Barrels Of Oil Into Ground Every Day
2430	Friendship With Homeless Man One-Sided
2431	MIT Fraternity Accused Of Robot Hazing
2432	Critics Blast Bush For Not Praying Hard Enough
2433	Entire Train Ride Spent Deciding If, When To Use Bathroom
2434	Detroit Sold For Scrap
2435	Girls Gone Wild Released Back Into Civilization
2436	Sitcom Writer On Deathbed Thinks Of All The Zany Plots He'll Never Write
2437	Raccoons Force Garage Band Into Attic
2438	Dove Campaign For Real Beauty Announces 2008 Presidential Candidate
2439	Pedophile Less Interested The More He Views 13-Year-Old's MySpace Profile
2440	None
2441	Soup Kitchen Thinks It Can Solve The World's Problems With Soup
2442	Rumsfeld: Iraqis Now Capable Of Conducting War Without U.S. Assistance
2443	Poverty-Stricken Africans Receive Desperately Needed Bibles
2444	Landscaper Waiting For Career-Defining Lawn
2445	Conspiracy Theorist Has Elaborate Explanation For Why He's Single
2446	New Poll Finds 86 Percent Of Americans Don't Want To Have A Country Anymore
2447	Mover Regales Area Man With Story Of Time He Moved Dresser Just Like This One
2448	Wonder Drug Inspires Deep, Unwavering Love Of Pharmaceutical Companies
2449	'Iraqi Gandhi' Preaches Slightly Less Violence
2450	Dozens Trapped In Candlelight Vigil For Coal Miners
2451	New Wool Blanket Tears Commune Apart
2452	Modern-Day John Henry Dies Trying To Out-Spreadsheet Excel 11.0
2453	Democrats Vow Not To Give Up Hopelessness
2454	Rotation Of Earth Plunges Entire North American Continent Into Darkness
2455	Voices In Man's Head Make Great Point About Time Management
2456	Girlfriend Dumped After Valentine-Candy-Related Weight Gain
2457	Army Of Identical Scientists Demands Legislative Support For Cloning
2458	White House Had Prior Knowledge Of Cheney Threat
2459	Hamas Calls For 'Giant Summit' With All Israelis
2460	Denny's Comment-Card Archive Offers Glimpse Into Decades Of Poor, Fair, And Excellent Service
2461	Study: Dolphins Not So Intelligent On Land
2462	Senate Ethics Committee To Meet In New Ethics Committee Mansion
2463	Onion Sports 2006 Winter Olympics Preview
2464	Wal-Mart Parking Lot Puts Municipal Parking Lot Out Of Business
2465	EPA Warns Of Dangerous Levels Of Romance In Air
2466	White House Debuts Iraq War Infomercial
2467	Millions Of Americans Succumbing To Sudden Elder Death Syndrome
2468	TV Blamed For Rise In Formulaic Violence
2469	President Creates Cabinet-Level Position To Coordinate Scandals
2470	Black Box Records Last 90 Minutes Of Hot-Air Balloon Crash
2471	Area Family Likes Car So Much They Live In It
2472	Secretary Of Agriculture Keeps Bragging He's Ninth In Line For The Presidency
2473	More Companies Phasing Out Retirement Option
2474	Nation's Snowmen March Against Global Warming
2475	None
2476	U.S. Holds Going-Out-Of-Business Sale
2477	Maverick Hunter's 'Human Beings As Prey' Plan Not As Challenging As Expected
2478	Sean Penn Demands To Know What Asshole Took SeanPenn@ gmail.com
2479	None
2480	Peppy U.S. Teens Vow To Make This The Best Year Ever
2481	Marital Frustrations Channeled Through Thermostat
2482	Plan To Straighten Out Entire Life During Weeklong Vacation Yields Mixed Results
2483	Important Christmas Lessons Already Forgotten
2484	Saturn Probe To Be Biggest Story Of The Year
2485	Well-Rested Bush At The Top Of His Game
2486	April Comes To A Close
2487	Deep Fruit Revealed To Be Charles Nelson Reilly
2488	Natalee Holloway Makes New Year's Resolution To Become Famous
2489	Stuntman Typecast As Guy Who Falls From Balcony Onto Table
2490	Rove Implicated In Santa Identity Leak
2491	U.S. Troops Draw Up Own Exit Strategy
2492	Rising Home-Heating Costs Hitting Reptile Families Hardest
2493	Weather-Weary Nation Not Surprised By Forecast Of Blood Storms
2494	Dope Just Galumphing Where Life Takes Him
2495	New Video Game Designed To Have No Influence On Kids' Behavior
2496	Activist Judge Cancels Christmas
2497	Report: U.S. Coupon Wealth Largely Untapped
2498	Voice Of God Revealed To Be Cheney On Intercom
2499	Area Cherokee In Violation Of Indian Removal Act Of 1830
2500	Rest Of U2 Perfectly Fine With Africans Starving
2501	Fritolaysia Cuts Off Chiplomatic Relations With Snakistan
2502	Sleazy Town Will Do Anything To Get On Map
2503	Terrorist Has No Idea What To Do With All This Plutonium
2504	CIA Realizes It's Been Using Black Highlighters All These Years
2505	Bush To Increase Funding For Hope-Based Initiatives
2506	Parking-Ramp Attendant Knows All The Best Spaces
2507	FCC: All Programming To Be Broadcast In ADHDTV By 2007
2508	Cases Of Glitter Lung On The Rise Among Elementary-School Art Teachers
2509	Animal Planet Reality Show To Put Bear, Antelope, Hawk, Cheetah In Same House
2510	133 Dead As Delta Cancels Flight In Midair
2511	Area Baby Doesn't Have Any Friends
2512	Long-Awaited Beer With Bush Really Awkward, Voter Reports
2513	None
2514	U.S. Dollar Slips Against Canadian Acorn
2515	Metal Council Convenes To Discuss 'Metal Hand Sign' Abuse
2516	'Now We Can Finally Put Civil Rights Behind Us'
2517	Bush Orders Mass Bald Eagle Slaughter To Stop Spread Of Bird Flu
2518	TV-News Graphics Guy Gives Weatherman On-Air Surprise
2519	Night On Town Fails To Rekindle Fading Business Relationship
2520	Iraqi Constitution Ratified, Burned
2521	None
2522	NASA Chief Under Fire For Personal Shuttle Use
2523	Trick-Or-Treaters To Be Subject To Random Bag Searches
2524	That's The Last Time Private Collector Loans Painting To Guggenheim
2525	Six Dead In Gubernatorial Suicide Pact
2526	Veteran Cop Gets Along Great With Rookie Partner
2527	Poll: More Americans Getting Their News From Bev
2528	Study Reveals Pittsburgh Unprepared For Full-Scale Zombie Attack
2529	Report: 92 Percent Of Souls In Hell There On Drug Charges
2530	Bush To Appoint Someone To Be In Charge Of Country
2531	Man With Friend With Cancer 'Going Through A Rough Time'
2532	Hatred Of Marriage Counselor Brings Couple Together
2533	America's Obese: A Food Source For America's Even More Obese?
2534	Citing Slow Summer Box Office, Hollywood Calls It Quits
2535	CEO's Success Credited To Unbelievable Handshake
2536	Bob Marley Rises From Grave To Free Frat Boys From Bonds Of Oppression
2537	Report: Some Sort Of Primary Just Happened
2538	Two Publicists, Stylist, Personal Assistant Injured As Nicole Kidman Turns On Handlers
2539	Guy In Philosophy Class Needs To Shut The Fuck Up
2540	U.S. Launches AIDS-Awareness Campaign In Botswana: 'You All Have AIDS,' Says U.S.
2541	Bush Braces As Cindy Sheehan's Other Son Drowns In New Orleans
2542	Bill Introduced As Joke Signed Into Law
2543	Oprah Stuns Audience With Free Man Giveaway
2544	'Hanging Out' Continues To Grow In Popularity Among Teens
2545	Search For Self Called Off After 38 Years
2546	Elf Finger Found In Box Of Keebler Cookies
2547	Bush Nominates First-Trimester Fetus To Supreme Court
2548	Report: More Kids Being Home-Churched
2549	Cheney Dropped By White House HMO
2550	God Outdoes Terrorists Yet Again
2551	Food Critic Tears Radish Canapés With Salmon Mousse A New Asshole
2552	CEO Barbie Criticized For Promoting Unrealistic Career Images
2553	None
2554	Bush: Vacation Ruined By 'Stupid Dead Soldier'
2555	Wrongly Imprisoned Man Won't Shut Up About It
2556	Google Announces Plan To Destroy All Information It Can't Index
2557	U.S. Blowjobless Rate At All-Time High
2558	New Strain Of Jet Lag Devastates Airline Industry
2559	City Councilman Unearths Magical Zoning Amulet
2560	Dave Matthews Not That Into Himself Anymore
2561	Rumsfeld Makes Surprise Visit To Wife's Vagina
2562	Evangelical Scientists Refute Gravity With New 'Intelligent Falling' Theory
2563	U.S. Intelligence: Nukehavistan May Have Nuclear Weapons
2564	Iraqi Cop Moonlighting As Terrorist Just To Make Ends Meet
2565	Police Search Of Backpack Yields Explosive Bestseller
2566	Bush Vows To Eliminate U.S. Dependence On Oil By 4920
2567	Vehement Anti-Cell-Phone Guy Finally Caves
2568	Longtime Married Couple Subjected To Excruciating 'Romantic Weekend Getaway'
2569	White House Denies Existence Of Karl Rove
2570	First-Time Novelist Constantly Asking Wife What It's Like To Be A Woman
2571	Suicide Bomber Killed En Route By Car Bomb
2572	Report: Our High Schools May Not Adequately Prepare Dropouts For Unemployment
